Intervalo tamaño nominal,Clase RC2 (límites de holgura),Clase RC2 (Orificio),Clase RC2 (Eje),Clase RC5 (límites de holgura),Clase RC5 (Orificio),Clase RC5 (Eje),Clase RC8 (límites de holgura),Clase RC8 (Orificio),Clase RC8 (Eje)
"(0, 0.12)","(0.1, 0.55)","(0.25, 0)","(-0.1, -0.3)","(0.6, 1.6)","(0.6, 0)","(-0.6, -1)","(2.5, 5.1)","(1.6, 0)","(-2.5, -3.5)"
"(0.12, 0.24)","(0.15, 0.65)","(0.3, 0)","(-0.15, -0.35)","(0.8, 2)","(0.7, 0)","(-0.8, -1.3)","(2.8, 5.8)","(1.8, 0)","(-2.8, -4)"
"(0.24, 0.4)","(0.2, 0.85)","(0.4, 0)","(-0.2, -0.45)","(1, 2.5)","(0.9, 0)","(-1, -1.6)","(3, 6.6)","(2.2, 0)","(-3, -4.4)"
"(0.4, 0.71)","(0.25, 0.95)","(0.4, 0)","(-0.25, -0.55)","(1.2, 2.9)","(1, 0)","(-1.2, -1.9)","(3.5, 7.9)","(2.8, 0)","(-3.5, -5,1)"
"(0.71, 1.19)","(0.3, 1.2)","(0.5, 0)","(-0.3, -0.7)","(1.6, 3.6)","(1.2, 0)","(-1.6, -2.4)","(4.5, 10)","(3.5, 0)","(-4.5, -6.5)"
"(1.19, 1.97)","(0.4, 1.4)","(0.6, 0)","(-0.4, -0.8)","(2, 4.6)","(1.6, 0)","(-2, -3)","(5, 11.5)","(4, 0)","(-5, -7.5)"
"(1.97, 3.15)","(0.4, 1.6)","(0.7, 0)","(-0.4, -0.9)","(2.5, 5.5)","(1.8, 0)","(-2.5, -3.7)","(6, 13.5)","(4.5, 0)","(-6, -9)"
"(3.15, 4.73)","(0.5, 2)","(0.9, 0)","(-0.5, -1.1)","(3, 6.6)","(2.2, 0)","(-3, -4.4)","(7, 15.5)","(5, 0)","(-7, -10.5)"
"(4.73, 7.09)","(0.6, 2.3)","(1, 0)","(-0.6, -1.3)","(3.5, 7.6)","(2.5, 0)","(-3.5, -5.1)","(8, 18)","(6, 0)","(-8, -12)"
"(7.09, 9.85)","(0.6, 2.6)","(1.2, 0)","(-0.6, -1.4)","(4, 8.6)","(2.8, 0)","(-4, -5.8)","(10, 21.5)","(7, 0)","(-10, -14.5)"
"(9.85, 12.41)","(0.7, 2.8)","(1.2, 0)","(-0.7, -1.6)","(5, 10)","(3, 0)","(-5, -7)","(12, 25)","(8,0)","(-12, -17)"
